manhattan 103: tempo: 0.94165249998332, nodi: 936, explored_paths: 50, cost: 10
subgoal 103: tempo: 1.4661141999822576, nodi: 1151, explored_paths: 57, cost: 10
relaxed 103: tempo: 600.4854939999932, nodi: 27176, explored_paths: 1539, cost: 0
manhattan 104: tempo: 0.08539920000475831, nodi: 241, explored_paths: 13, cost: 6
subgoal 104: tempo: 1.1738365000055637, nodi: 991, explored_paths: 44, cost: 10
relaxed 104: tempo: 10.262963899993338, nodi: 2936, explored_paths: 133, cost: 6
manhattan 105: tempo: 0.12202909999177791, nodi: 311, explored_paths: 17, cost: 9
subgoal 105: tempo: 0.8465267999854404, nodi: 886, explored_paths: 46, cost: 12
relaxed 105: tempo: 2.1274470999778714, nodi: 1326, explored_paths: 66, cost: 7
manhattan 106: tempo: 0.07597949999035336, nodi: 216, explored_paths: 9, cost: 6
subgoal 106: tempo: 0.043112399987876415, nodi: 176, explored_paths: 7, cost: 6
relaxed 106: tempo: 0.07392140000592917, nodi: 226, explored_paths: 9, cost: 6
manhattan 107: tempo: 0.7019150999840349, nodi: 741, explored_paths: 43, cost: 9
subgoal 107: tempo: 0.6060758999956306, nodi: 716, explored_paths: 39, cost: 7
relaxed 107: tempo: 77.37088149998453, nodi: 9001, explored_paths: 460, cost: 7
